ra	dc
24.7396	8.70055
47.0448	40.9511
83.816	-5.38801
83.8172	-5.38981
165.457	-34.7103
332.171	45.7443
332.17	45.7444
332.171	45.7444
332.157	45.7388
332.17	45.7444
332.17	45.7444
56.6926	24.0737
225.933	47.6574
243.668	33.8599
82.1953	-65.4454
311.288	-31.3445
83.8154	-5.38444
285.45	-36.9721
83.7791	-6.57277
84.1	-6.74879
84.6864	-69.0958
129.788	65.0216
154.909	19.8758
120.895	-39.9985
83.8196	-5.39459
119.535	-60.7637
113.658	31.8745
219.897	-60.8305
225.542	66.2032
290.772	4.95109
161.267	-52.5392
4.95304	21.9485
117.821	14.7348
85.9033	-68.3716
5.97704	-72.073
265.17	-53.6894
4.95755	21.943
9.31195	-72.2292
14.6231	-71.5941
69.9297	-68.1512
85.9181	-68.3745
141.44	-47.9617
240.438	66.8104
326.169	38.3246
170.316	-60.6187
290.709	5.05865
235.604	-52.3839
84.7335	-64.0885
84.9202	-69.7472
266.008	-29.7282
95.6851	-0.355853
300.706	25.2312
306.016	33.8778
275.919	-30.356
253.504	-39.8553
94.2836	9.1412
308.104	40.953
135.528	-40.5647
186.651	-62.7799
248.058	-67.4705
250.224	-53.7542
287.954	4.97818
299.589	35.197
254.461	35.3466
270.283	-25.1116
284.146	-37.9046
350.918	58.7934
6.28058	64.1618
262.665	-21.5085
287.756	9.1017
79.8347	-69.0312
85.1025	-69.3259
16.0668	-72.014
81.2518	-69.6457
83.8888	-69.2772
244.407	-51.0203
83.8775	-69.2666
77.3045	-68.7245
171.224	-59.2604
128.844	-45.1764
128.827	-45.2053
31.398	64.8216
104.952	14.2434
128.838	-45.1724
44.1981	-33.267
330.687	42.276
54.6128	-35.4895
54.6185	-35.4466
187.704	12.3928
266.414	-29.0127
10.1094	40.6648
10.1139	40.6644
10.1141	40.6664
10.1171	40.6664
10.1157	40.6742
10.114	40.6748
10.1095	40.6742
10.1087	40.6736
10.1076	40.6697
10.108	40.6665
10.5303	40.9161
10.5346	40.9158
10.5363	40.9161
10.5364	40.9181
10.6727	40.869
10.672	40.8696
10.668	40.8687
10.6667	40.8681
10.664	40.865
10.6661	40.8622
10.6819	41.2637
10.6838	41.2643
10.6863	41.2634
10.6867	41.2651
10.6893	41.2649
10.6877	41.2725
10.6873	41.2732
10.6829	41.2731
10.6805	41.2722
10.6795	41.2692
10.6809	41.2654
11.026	41.7159
11.0304	41.7155
11.0309	41.7172
11.0328	41.718
11.0319	41.7256
11.0315	41.7262
11.027	41.7257
11.0255	41.7238
11.0239	41.7217
11.0256	41.7179
11.3301	41.8245
11.3346	41.8242
11.3363	41.8244
11.3371	41.826
11.3359	41.8331
11.336	41.8339
11.3322	41.8339
11.329	41.8323
11.327	41.8305
11.3302	41.8265
10.6781	41.2699
260.008	26.6834
10.6827	41.264
10.6841	41.2637
10.6812	41.2578
10.6876	41.2524
10.688	41.2788
10.6831	41.2788
10.6874	41.2852
10.6804	41.285
10.6582	40.8784
10.649	40.8676
180.486	-18.8405
201.423	-42.9566
20.9013	33.2598
186.514	12.9719
54.6447	-35.4834
54.672	-35.4517
187.439	7.996
187.444	8.00835
190.711	2.69724
190.711	2.69147
198.1	42.6952
237.444	21.4221
97.3776	72.0748
201.34	-38.4118
40.6553	0.00190333
214.503	25.1399
329.716	-30.2308
40.6674	-0.0133594
49.9486	41.5165
130.363	70.8989
182.632	39.4094
327.981	-30.4699
329.717	-30.2305
20.9791	-35.0705
20.9732	-35.0754
40.6742	-0.0227644
40.6698	-0.0233167
79.9639	-45.7772
79.9416	-45.7732
182.645	39.4135
182.625	39.4113
184.729	47.3088
184.726	47.301
187.697	12.3857
187.702	12.3821
202.456	47.2047
202.458	47.191
213.299	-65.3292
213.313	-65.3341
213.305	-3.2152
213.307	-3.21645
299.877	40.7414
299.863	40.7431
148.979	69.6798
150.314	55.8832
169.564	7.75512
128.84	-45.1802
213.313	-65.3341
56.7038	24.0837
216.149	22.9288
110.109	-31.4337
110.109	-31.4336
40.6697	-0.0233478
278.41	-21.0528
182.625	39.4115
174.763	-37.7365
213.293	-65.3437
166.634	-18.365
322.3	-15.6499
115.299	31.2094
148.987	69.745
148.771	69.7024
148.784	69.6529
11.8933	-25.2593
17.339	35.74
40.269	-8.22655
40.4458	0.412961
40.8939	37.316
139.767	69.2231
140.5	51.0054
148.816	69.0506
161.707	11.8445
165.091	13.9279
165.12	28.9987
170.079	13.0141
170.084	13.6144
171.563	43.6033
183.8	33.2148
184.999	29.2661
185.622	29.8675
185.75	15.8434
186.243	12.8683
186.421	33.5354
187.867	25.7994
189.073	25.9609
189.212	13.192
189.433	11.8477
190.008	-11.5976
190.725	13.2862
192.628	25.5272
192.7	41.0953
194.155	21.6951
198.33	36.585
198.915	42.0278
202.501	47.2973
205.548	35.6272
268.978	18.3166
63.6593	5.56841
63.6549	5.56851
137.868	5.85168
63.6566	5.58821
63.6656	5.58317
172.98	4.92169
172.991	4.93851
308.111	40.967
308.111	40.9671
242.293	65.5405
49.9531	41.511
304.825	11.4664
73.5437	-10.1964
340.117	3.35527
203.986	-34.2943
134.676	14.1684
256.152	60.7446
349.606	-42.3788
76.925	-37.5179
253.249	2.4069
53.1121	-27.8054
20.8892	-34.9867
79.8626	-45.6958
36.4156	62.094
28.2797	-13.7275
207.205	26.6076
207.235	26.6071
210.271	2.89484
210.222	2.86631
247.135	39.559
247.188	39.5531
248.186	5.55739
328.397	17.6755
328.403	17.6827
49.9799	41.5804
49.9085	41.488
192.207	-41.3331
192.2	-41.3331
206.889	-11.7341
206.871	-11.7726
116.869	-19.2777
138.447	40.9531
116.883	-19.29
210.252	2.83863
164.233	-3.65521
303.211	-56.8546
176.15	19.7587
40.0111	-1.57538
209.996	62.4933
187.643	12.3999
44.7273	13.5789
4.63637	16.5002
15.5153	31.8005
23.0179	-13.5642
28.2533	1.01837
42.0113	-3.47338
46.3679	17.2215
69.7926	7.29743
69.7861	5.40483
73.5464	2.97667
73.573	-3.06615
113.141	31.6759
127.637	65.8897
130.797	36.3906
139.576	51.7295
140.138	30.5531
149.528	-11.0857
175.208	66.1184
178.769	23.3691
179.268	33.564
188.538	9.82569
197.808	-1.33743
214.187	44.8056
216.575	37.8536
224.253	22.3303
